Date,Open,High,Low,Close,Adj Close,Volume
"Apr 28, 2023",199.5,201.55,199.0,201.1,201.1,7951645
"Apr 27, 2023",198.45,199.95,197.65,198.5,198.5,5215692
"Apr 26, 2023",197.65,198.95,196.15,198.2,198.2,4910837
"Apr 25, 2023",195.85,198.8,195.35,197.65,197.65,5957551
"Apr 24, 2023",196.5,196.7,194.8,195.85,195.85,5017631
"Apr 21, 2023",196.95,196.95,194.5,195.7,195.7,4015567
"Apr 20, 2023",193.55,196.8,193.45,196.4,196.4,6086016
"Apr 19, 2023",197.55,197.75,193.05,193.45,193.45,6753761
"Apr 18, 2023",197.5,198.2,196.15,197.25,197.25,4249222
"Apr 17, 2023",196.3,197.6,194.8,196.95,196.95,4756452
"Apr 13, 2023",197.2,197.2,194.25,196.3,196.3,6448150
"Apr 12, 2023",198.0,198.6,195.55,197.1,197.1,8183550
"Apr 11, 2023",197.0,197.9,195.8,197.55,197.55,4957133
"Apr 10, 2023",195.5,197.75,195.1,195.7,195.7,7752647
"Apr 06, 2023",193.5,196.0,192.1,195.25,195.25,8898362
"Apr 05, 2023",194.65,194.95,192.5,194.6,194.6,7802577
"Apr 03, 2023",193.35,196.05,192.05,193.95,193.95,14927965
"Mar 31, 2023",188.5,191.6,187.95,190.25,190.25,13519886
"Mar 29, 2023",184.5,187.7,183.3,185.5,185.5,17480941
"Mar 28, 2023",186.7,187.5,182.35,183.95,183.95,12023683
"Mar 27, 2023",192.9,194.0,184.45,186.65,186.65,22247890
"Mar 24, 2023",200.1,201.25,192.1,192.75,192.75,16010459
"Mar 23, 2023",200.0,202.2,199.55,200.1,200.1,5367782
"Mar 22, 2023",203.35,203.8,200.5,200.95,200.95,7561000
"Mar 21, 2023",203.0,203.6,201.6,202.3,202.3,4431418
"Mar 20, 2023",204.5,204.55,200.5,202.6,202.6,6100721
"Mar 17, 2023",204.45,206.4,203.65,205.15,205.15,6398045
"Mar 16, 2023",202.95,204.55,198.85,203.4,203.4,7483698
"Mar 15, 2023",205.0,205.45,202.55,202.95,202.95,5658938
"Mar 14, 2023",203.85,205.2,201.7,203.4,203.4,7282943
"Mar 13, 2023",207.05,209.2,202.2,202.85,202.85,7250840
"Mar 10, 2023",208.05,209.2,206.0,208.75,208.75,5967859
"Mar 09, 2023",211.75,212.75,209.4,209.75,209.75,7481807
"Mar 08, 2023",209.45,211.9,208.1,211.25,211.25,7273306
"Mar 06, 2023",208.5,212.9,208.1,210.3,210.3,11959992
"Mar 03, 2023",206.1,209.25,206.0,207.75,207.75,9201938
"Mar 02, 2023",204.5,206.3,203.55,205.6,205.6,6290128
"Mar 01, 2023",203.3,205.4,202.4,204.55,204.55,6502602
"Feb 28, 2023",200.95,202.95,199.55,202.55,202.55,6795039
"Feb 27, 2023",201.95,202.3,197.5,199.75,199.75,12387738
"Feb 24, 2023",201.9,202.95,201.3,202.3,202.3,5212611
"Feb 23, 2023",202.8,203.7,200.6,201.3,201.3,10723010
"Feb 22, 2023",207.55,207.55,201.6,202.3,202.3,15048335
"Feb 21, 2023",204.85,209.75,204.6,207.95,207.95,15068225
"Feb 20, 2023",204.8,205.35,202.2,203.8,203.8,7780404
"Feb 17, 2023",204.5,206.05,204.15,204.7,204.7,5939096
"Feb 16, 2023",205.6,206.4,204.5,205.15,205.15,4862186
"Feb 15, 2023",202.65,205.65,202.35,205.25,205.25,6323738
"Feb 14, 2023",203.7,204.5,201.85,203.1,203.1,5125639
"Feb 13, 2023",205.3,206.25,202.3,203.6,203.6,6844360
"Feb 10, 2023",205.5,206.15,202.85,204.8,204.8,5515771
"Feb 09, 2023",207.2,207.65,203.55,205.5,205.5,6294658
"Feb 08, 2023",206.3,207.55,204.2,207.15,207.15,8259877
"Feb 07, 2023",209.5,210.0,205.0,206.3,206.3,8095192
"Feb 06, 2023",209.0,212.85,206.75,208.55,208.55,17908243
"Feb 03, 2023",207.5,208.2,202.0,205.3,205.3,10618799
"Feb 02, 2023",204.95,208.8,204.0,206.3,206.3,9841415
"Feb 01, 2023",214.9,215.4,196.65,205.85,205.85,19017445
"Jan 31, 2023",205.5,214.65,204.45,212.9,212.9,16807189
"Jan 30, 2023",203.45,205.8,201.35,204.35,204.35,10341362
"Jan 27, 2023",202.5,203.85,196.65,202.35,202.35,13521282
"Jan 25, 2023",205.85,206.25,200.85,201.45,201.45,9681030
"Jan 24, 2023",207.05,208.15,205.5,205.85,205.85,6551672
"Jan 23, 2023",207.75,208.0,206.7,207.0,207.0,4638356
"Jan 20, 2023",205.35,208.5,205.1,207.2,207.2,6362978
"Jan 19, 2023",206.95,207.5,205.05,205.3,205.3,4978935
"Jan 18, 2023",207.65,208.35,207.3,207.5,207.5,4564618
"Jan 17, 2023",206.9,208.5,206.0,207.7,207.7,5676087
"Jan 16, 2023",207.3,208.25,206.15,206.95,206.95,4396161
"Jan 13, 2023",205.7,206.8,204.15,206.45,206.45,5801690
"Jan 12, 2023",206.4,206.8,203.8,205.7,205.7,6167789
"Jan 11, 2023",206.85,207.3,205.15,205.85,205.85,7061239
"Jan 10, 2023",206.65,207.8,204.7,206.05,206.05,8246247
"Jan 09, 2023",206.45,207.15,205.2,206.2,206.2,6631221
"Jan 06, 2023",207.6,208.75,204.1,205.4,205.4,9603038
"Jan 05, 2023",209.6,209.75,205.15,207.6,207.6,10272550
"Jan 04, 2023",211.0,211.35,205.85,208.1,208.1,14226706
"Jan 03, 2023",212.0,213.0,210.0,211.35,211.35,7238453
"Jan 02, 2023",208.75,212.2,208.2,211.85,211.85,7746971
"Dec 30, 2022",207.4,210.0,207.0,207.7,207.7,7372810
"Dec 29, 2022",208.8,208.8,205.0,205.85,205.85,15374707
"Dec 28, 2022",207.35,210.3,206.8,208.25,208.25,8920331
"Dec 27, 2022",206.8,208.3,204.8,207.7,207.7,11851262
"Dec 26, 2022",197.3,204.65,194.6,203.15,203.15,18203352
"Dec 23, 2022",206.2,207.9,196.0,196.9,196.9,20819266
"Dec 22, 2022",214.9,215.3,206.55,208.9,208.9,14020296
"Dec 21, 2022",218.4,219.4,212.5,213.8,213.8,9737819
"Dec 20, 2022",216.8,218.5,214.6,217.85,217.85,6418826
"Dec 19, 2022",218.0,218.0,214.9,216.8,216.8,9302368
"Dec 16, 2022",221.0,222.5,216.05,217.35,217.35,10349382
"Dec 15, 2022",222.65,224.8,221.05,221.8,221.8,7909066
"Dec 14, 2022",219.8,223.2,219.4,222.7,222.7,9179593
"Dec 13, 2022",218.8,220.3,217.8,218.85,218.85,7265105
"Dec 12, 2022",219.75,219.75,215.7,217.7,217.7,8858525
"Dec 09, 2022",225.9,226.5,217.5,219.4,219.4,13087278
"Dec 08, 2022",226.0,227.3,224.8,225.05,225.05,7507975
"Dec 07, 2022",228.8,229.6,225.4,225.85,225.85,7548312
