Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,11.580205,11.662232,11.488529,11.628456,5.920810,33160
1996-01-02,11.628456,11.739433,11.396852,11.483704,5.847106,176162
1996-01-03,11.483704,11.599506,11.392027,11.411327,5.810256,104661
1996-01-04,11.411327,11.387202,11.155598,11.242449,5.724267,77718
1996-01-05,11.242449,11.483704,11.097697,11.464403,5.837280,113469
1996-01-08,11.464403,11.652582,11.314826,11.560905,5.886415,863715
1996-01-09,11.560905,11.821460,11.290700,11.729783,5.972402,315538
1996-01-10,11.729783,11.835935,11.488529,11.628456,5.920810,764753
1996-01-11,11.628456,12.159216,11.628456,12.053064,6.137005,251290
1996-01-12,12.053064,12.328094,12.062714,12.294318,6.259844,1237801
1996-01-15,12.294318,12.318444,12.014463,12.313618,6.269670,1161119
1996-01-16,12.313618,12.178516,11.980688,12.135090,6.178769,298958
1996-01-17,12.135090,12.255717,11.917961,11.980688,6.100154,867860
1996-01-18,11.980688,12.159216,11.589856,12.115790,6.168942,959568
1996-01-19,11.874536,12.241242,11.874536,12.164041,6.193509,1247128
1996-01-22,12.255717,12.255717,11.980688,11.995163,6.107523,194815
1996-01-23,11.995163,12.159216,11.917961,12.135090,6.178769,219685
1996-01-24,12.135090,12.125440,11.966212,12.125440,6.173855,692215
1996-01-25,12.125440,12.159216,12.014463,12.062714,6.141919,311393
1996-01-26,12.062714,12.062714,12.062714,12.062714,6.141919,0
1996-01-29,12.062714,12.303968,11.971037,12.255717,6.240188,347662
1996-01-30,12.255717,12.448721,12.188166,12.318444,6.272128,705168
1996-01-31,12.318444,12.448721,12.115790,12.352219,6.289323,1188061
1996-02-01,12.352219,12.545223,12.303968,12.492147,6.360570,535223
1996-02-02,12.492147,13.365487,12.738226,13.225560,6.733999,1962659
1996-02-05,13.225560,13.606741,13.008431,13.129058,6.684863,2445552
1996-02-06,13.129058,13.384788,12.839553,13.109758,6.675037,967340
1996-02-07,13.109758,13.413738,12.931229,13.114583,6.677493,268907
1996-02-08,13.114583,14.369105,13.220735,14.050649,7.154105,795322
1996-02-09,14.050649,14.354630,13.703243,14.161626,7.210612,510353
1996-02-12,14.161626,14.571759,13.703243,14.098900,7.178674,1025888
1996-02-13,14.098900,14.571759,13.944498,14.475257,7.370303,827964
1996-02-14,14.475257,15.633278,14.668260,15.305172,7.792868,1001018
1996-02-15,15.305172,15.633278,14.962591,15.223145,7.751099,1354380
1996-02-16,15.223145,15.247271,14.668260,14.735812,7.502968,444551
1996-02-19,14.735812,15.174894,14.504207,14.610359,7.439089,330045
1996-02-20,14.610359,14.977066,14.523508,14.784062,7.527536,1205678
1996-02-21,14.784062,14.784062,14.784062,14.784062,7.527536,0
1996-02-22,14.784062,14.981891,14.716511,14.943290,7.608609,283414
1996-02-23,14.943290,15.440274,14.861264,15.088043,7.682311,495327
1996-02-26,15.088043,15.194195,14.759937,14.798538,7.534904,219167
1996-02-27,14.798538,14.909515,14.475257,14.595884,7.431720,497400
1996-02-28,14.595884,15.199020,14.287079,14.981891,7.628261,681335
1996-02-29,14.981891,14.475257,13.968623,14.060300,7.159019,1535205
1996-03-01,14.060300,14.330504,13.920372,14.190577,7.225352,366832
1996-03-04,14.190577,14.475257,14.147151,14.369105,7.316254,454914
1996-03-05,14.369105,14.369105,14.369105,14.369105,7.316254,0
1996-03-06,14.369105,14.330504,13.997573,14.195402,7.227808,240410
1996-03-07,14.195402,14.330504,14.089250,14.151976,7.205700,139375
1996-03-08,14.151976,14.185752,13.872121,14.161626,7.210612,170981
1996-03-11,14.161626,14.156801,13.703243,13.978273,7.117254,316056
1996-03-12,13.978273,13.973448,13.751494,13.930022,7.092688,515534
1996-03-13,13.930022,14.185752,13.833521,14.089250,7.173760,188597
1996-03-14,14.089250,14.282254,13.992748,14.185752,7.222896,155955
1996-03-15,14.185752,14.378755,14.089250,14.287079,7.274487,754390
1996-03-18,14.287079,14.369105,14.113376,14.234003,7.247463,613460
1996-03-19,14.234003,14.465607,13.992748,14.320854,7.291683,418127
1996-03-20,14.320854,14.320854,14.320854,14.320854,7.291683,0
1996-03-21,14.330504,14.364280,14.185752,14.340155,7.301514,296885
1996-03-22,14.340155,14.306379,14.113376,14.209877,7.235179,186525
1996-03-25,14.209877,14.282254,14.094075,14.151976,7.205700,102588
1996-03-26,14.151976,14.475257,13.944498,14.470432,7.367845,804130
1996-03-27,14.470432,14.378755,14.185752,14.253303,7.257289,98961
1996-03-28,14.253303,14.475257,14.190577,14.451132,7.358018,131085
1996-03-29,14.451132,14.465607,14.089250,14.103725,7.181131,131603
1996-04-01,14.103725,14.277428,14.089250,14.161626,7.210612,164245
1996-04-02,14.161626,14.330504,14.089250,14.238828,7.249921,163727
1996-04-03,14.238828,14.861264,14.451132,14.504207,7.385041,347662
1996-04-04,14.504207,14.571759,14.287079,14.388405,7.326079,107251
1996-04-05,14.388405,14.388405,14.388405,14.388405,7.326079,0
1996-04-08,14.388405,14.745462,14.427006,14.677911,7.473487,317092
1996-04-09,14.677911,14.735812,14.523508,14.537983,7.402239,288595
1996-04-10,14.537983,14.798538,14.282254,14.523508,7.394871,561129
1996-04-11,14.523508,14.455957,14.378755,14.422181,7.343276,77200
1996-04-12,14.422181,14.455957,14.311204,14.383580,7.323623,71501
1996-04-15,14.383580,14.595884,14.451132,14.566934,7.416983,253363
1996-04-16,14.566934,14.764762,14.475257,14.581409,7.424351,222275
1996-04-17,14.581409,15.536776,14.813013,15.382373,7.832174,585999
1996-04-18,15.382373,16.694796,15.816631,16.525917,8.414428,1492719
1996-04-19,16.525917,17.563313,16.646545,17.037378,8.674846,1327955
1996-04-22,17.037378,17.466810,16.646545,16.694796,8.500416,1079773
1996-04-23,16.694796,16.743048,16.212288,16.366692,8.333355,682371
1996-04-24,16.366692,17.756315,16.844374,17.027727,8.669931,677708
1996-04-25,17.027727,17.370308,15.971034,16.144737,8.220343,559575
1996-04-26,16.144737,16.550043,15.971034,16.053061,8.173665,544031
1996-04-29,16.053061,16.043409,15.763555,15.913133,8.102418,144557
1996-04-30,15.913133,16.115786,15.343772,15.474050,7.878853,647656
1996-05-01,15.474050,16.115786,15.782855,16.043409,8.168750,330045
1996-05-02,16.043409,16.106136,15.729779,16.067535,8.181033,233156
1996-05-03,16.067535,16.598295,15.927608,16.342566,8.321071,838845
1996-05-06,16.342566,16.342566,15.565726,15.835931,8.063111,504136
1996-05-07,15.922783,16.115786,15.749080,15.966208,8.129443,615014
1996-05-08,15.966208,16.395641,15.440274,16.236412,8.267021,417609
1996-05-09,16.236412,16.115786,15.739429,15.778030,8.033628,127458
1996-05-10,15.778030,15.618802,15.160419,15.531951,7.908336,384967
1996-05-13,15.531951,15.778030,15.536776,15.575377,7.930445,206213
1996-05-14,15.575377,15.778030,15.464400,15.691179,7.989409,310357
1996-05-15,15.691179,16.115786,15.633278,15.898657,8.095050,241446
1996-05-16,15.898657,16.550043,16.115786,16.125437,8.210516,479266
1996-05-17,16.125437,16.019283,15.536776,15.860057,8.075395,191706
1996-05-20,15.860057,15.633278,15.319647,15.546426,7.915703,120205
1996-05-21,15.546426,15.440274,15.247271,15.358248,7.819891,401029
1996-05-22,15.358248,15.720129,15.295522,15.430624,7.856740,300512
1996-05-23,15.430624,15.512650,15.271396,15.392023,7.837087,113469
1996-05-24,15.392023,15.507825,15.348597,15.445099,7.864111,273570
1996-05-27,15.445099,15.488525,15.314822,15.411324,7.846916,330045
1996-05-28,15.411324,15.440274,15.150769,15.305172,7.792868,174608
1996-05-29,15.305172,15.922783,15.749080,15.869707,8.080307,135748
1996-05-30,15.869707,15.913133,15.705654,15.739429,8.013975,229529
1996-05-31,15.739429,15.874532,15.724954,15.840756,8.065567,366832
1996-06-03,15.840756,16.110962,15.898657,15.971034,8.131900,276160
1996-06-04,15.971034,16.178513,15.778030,15.879357,8.085220,223830
1996-06-05,15.638103,16.019283,15.536776,15.999984,8.146638,261135
1996-06-06,16.299139,16.332914,16.115786,16.299139,8.298960,492737
1996-06-07,16.212288,16.694796,16.188162,16.516268,8.409513,633149
1996-06-10,16.453543,17.225555,16.308790,16.815424,8.561834,995837
1996-06-11,17.080803,17.080803,16.501793,16.810598,8.559380,719676
1996-06-12,17.852818,18.576580,17.563313,18.552454,9.446270,7996748
1996-06-13,18.721333,19.276217,18.721333,19.131466,9.741083,9762002
1996-06-14,19.734600,20.747869,19.396845,20.540390,10.458457,20584089
1996-06-17,20.989122,21.013248,19.889004,20.390812,10.555873,17767559
1996-06-18,20.096481,20.921572,19.985504,20.762344,10.748210,14540674
1996-06-19,20.940872,20.940872,20.125431,20.270185,10.493428,16197639
