Date,Open,High,Low,Close,Adj Close,Volume
2001-01-29,10.914344,11.088047,10.422185,10.735815,6.609690,7180328
2001-01-30,10.808192,11.030146,10.764766,10.832317,6.669103,7626050
2001-01-31,10.981895,11.425803,10.808192,11.039796,6.796841,12585102
2001-02-01,10.952944,11.372727,10.711690,10.909519,6.716634,12130996
2001-02-02,11.001195,11.256925,10.904693,11.078397,6.820606,9990071
2001-02-05,11.001195,11.946912,11.001195,11.811810,7.272145,21860284
2001-02-06,11.956562,12.516272,11.956562,12.221942,7.524649,17680815
2001-02-07,13.027731,13.201434,12.448721,12.815427,7.890039,26309842
2001-02-08,13.104933,14.518683,12.839553,14.383580,8.855502,32308606
2001-02-09,14.620010,16.685146,14.620010,15.715304,9.675401,43731035
2001-02-12,15.826281,15.893832,14.668260,15.006016,9.238712,18365984
2001-02-13,15.073568,16.694796,14.875739,16.448717,10.126939,26410607
2001-02-14,16.337740,17.466810,15.951733,16.323265,10.049701,41237359
2001-02-15,16.588646,16.694796,16.043409,16.197813,9.972464,16450007
2001-02-16,16.212288,16.352215,15.160419,15.377548,9.467452,30960102
2001-02-19,15.739429,16.004808,15.174894,15.483700,9.532806,14142753
2001-02-20,15.464400,16.636894,15.464400,15.932433,9.809078,32473930
2001-02-21,16.019283,16.308790,15.565726,15.696004,9.663514,15720311
2001-02-22,15.546426,15.845581,15.150769,15.387198,9.473392,16440629
2001-02-23,15.440274,15.961383,14.156801,14.291904,8.799057,30389936
2001-02-26,14.475257,14.861264,14.156801,14.624835,9.004032,16762427
2001-02-27,14.764762,15.720129,14.185752,15.155594,9.330802,27898892
2001-02-28,15.729779,16.202639,13.143533,14.094075,8.677262,38105747
2001-03-01,13.896247,14.957766,13.365487,13.915547,8.567347,28083749
2001-03-02,14.378755,14.861264,13.225560,13.544015,8.338605,21787633
2001-03-05,13.606741,13.896247,11.382377,12.154391,7.483062,24877008
2001-03-06,12.154391,12.154391,12.154391,12.154391,7.483062,0
2001-03-07,12.545223,13.027731,11.956562,12.863678,7.919746,10092587
2001-03-08,12.931229,13.264160,12.400470,13.095282,8.062337,8345737
