Date,Open,High,Low,Close,Adj Close,Volume
2001-01-29,7.301657,7.343766,6.967594,7.200596,1.721256,28038167
2001-01-30,7.186560,7.630106,7.186560,7.596419,1.815875,66914235
2001-01-31,7.635720,7.893987,7.585190,7.711516,1.843388,118599154
2001-02-01,7.641335,7.823806,7.467285,7.683443,1.836677,79373135
2001-02-02,7.641335,8.042771,7.635720,8.006277,1.913849,110114588
2001-02-05,8.051193,8.491931,8.003470,8.368412,2.000415,151982659
2001-02-06,8.402099,8.637908,8.270159,8.570534,2.048730,130730474
2001-02-07,8.623872,8.623872,8.359991,8.522811,2.037323,80375344
2001-02-08,8.545269,8.955128,8.539655,8.907404,2.129257,145070984
2001-02-09,8.974778,9.238660,8.974778,9.143213,2.185626,117667282
2001-02-12,9.146021,9.179708,8.795114,8.859681,2.117850,72908001
2001-02-13,8.870910,9.075839,8.733355,8.887754,2.124560,85685789
2001-02-14,8.870910,9.033731,8.730548,8.907404,2.129257,78834530
2001-02-15,8.977586,9.039345,8.845645,8.901790,2.127915,59968951
2001-02-16,8.898983,8.927055,8.595800,8.618258,2.060139,52107468
2001-02-19,8.671595,8.927055,8.595800,8.716511,2.083625,52507379
2001-02-20,8.741777,8.924248,8.741777,8.803536,2.104428,69215170
2001-02-21,8.904597,9.081454,8.848452,8.957935,2.141337,115409467
2001-02-22,8.927055,8.949513,8.657559,8.719319,2.084296,56571997
2001-02-23,8.842838,8.997236,8.477895,8.534040,2.040006,112026299
2001-02-26,8.590185,8.775464,8.284195,8.663174,2.070875,103699823
2001-02-27,8.744584,8.949513,8.477895,8.859681,2.117850,111777034
2001-02-28,8.924248,9.064610,8.562113,8.674403,2.073560,92215988
2001-03-01,8.542462,9.370601,8.542462,9.151635,2.187640,137195609
2001-03-02,9.320070,9.513770,8.736162,8.820380,2.108454,90746097
2001-03-05,8.896175,8.977586,8.287002,8.357183,1.997730,77691115
2001-03-06,8.357183,8.357183,8.357183,8.357183,1.997730,0
2001-03-07,8.505968,8.671595,8.149447,8.376834,2.002428,35681643
2001-03-08,8.315075,8.646330,8.267351,8.475088,2.025914,35120791
2001-03-09,8.371220,8.371220,7.798541,7.972590,1.905796,30159317
2001-03-12,7.809770,8.239279,7.220247,7.408333,1.770914,34290727
2001-03-13,7.223054,7.223054,6.223673,6.234902,1.490413,60086593
2001-03-14,6.119805,7.102342,6.119805,6.987245,1.670256,35824701
2001-03-15,6.740207,7.548695,6.740207,7.458863,1.782993,38348078
2001-03-16,7.413947,7.677829,6.737400,7.051812,1.685690,32203862
2001-03-19,6.793545,7.568346,6.793545,7.484129,1.789032,27478616
2001-03-20,7.573961,7.748010,7.287621,7.402718,1.769572,20490478
2001-03-21,7.315693,7.792926,7.304464,7.700287,1.840704,23845095
2001-03-22,7.691865,7.776083,7.467285,7.562732,1.807822,16868963
2001-03-23,7.635720,7.635720,7.217440,7.481321,1.788361,28174350
2001-03-26,7.354995,7.568346,7.304464,7.486936,1.789704,10591984
2001-03-27,7.489743,7.523430,7.293235,7.318501,1.749440,9133118
2001-03-28,7.380260,7.517816,7.329730,7.388682,1.766217,10390844
2001-03-29,7.354995,7.430791,7.102342,7.189367,1.718571,15712065
2001-03-30,7.200596,7.371838,6.801967,6.869341,1.642071,18153137
2001-04-02,6.801967,6.801967,6.456675,6.498784,1.553492,13908165
2001-04-03,6.484747,6.731785,6.484747,6.692484,1.599795,22583647
2001-04-04,6.709327,6.731785,6.484747,6.692484,1.599795,14357270
2001-04-05,6.692484,6.692484,6.692484,6.692484,1.599795,0
2001-04-06,6.734593,7.079884,6.734593,6.931100,1.656834,24324408
2001-04-09,6.891799,7.180945,6.891799,7.110764,1.699782,13091601
2001-04-10,7.127608,7.242705,6.942329,6.990052,1.670927,13609438
2001-04-11,7.099535,7.124800,6.779509,6.855304,1.638716,14346601
2001-04-12,6.743014,6.743014,6.349999,6.456675,1.543426,27031149
2001-04-13,6.456675,6.456675,6.456675,6.456675,1.543426,0
2001-04-16,6.403337,6.872148,6.403337,6.768280,1.617913,20138924
2001-04-17,6.799159,7.158487,6.771087,7.102342,1.697769,21167671
2001-04-18,7.186560,7.669407,7.105150,7.430791,1.776282,32500095
2001-04-19,7.458863,7.966976,7.402718,7.759239,1.854796,53914414
2001-04-20,7.798541,7.801348,7.385875,7.520623,1.797756,18722823
2001-04-23,7.573961,7.826613,7.470092,7.602033,1.817217,16943288
2001-04-24,7.523430,7.717130,7.475707,7.587997,1.813861,17622137
2001-04-25,7.686251,8.253315,7.607648,8.202785,1.960822,60106345
2001-04-26,8.253315,8.382449,7.776083,7.896794,1.887677,41946047
2001-04-27,7.795733,7.795733,7.102342,7.318501,1.749440,44257954
2001-04-30,7.354995,7.579575,7.304464,7.543081,1.803124,18116750
2001-05-01,7.543081,7.543081,7.543081,7.543081,1.803124,0
2001-05-02,7.658178,7.964168,7.632913,7.750817,1.852782,38392855
2001-05-03,7.691865,7.804155,7.478514,7.512201,1.795743,19094379
2001-05-04,7.478514,7.804155,7.467285,7.680636,1.836006,31540615
2001-05-07,7.773275,7.927674,7.680636,7.714323,1.844059,24380495
2001-05-08,7.719938,7.787312,7.644142,7.666600,1.832651,17220588
2001-05-09,7.719938,7.860300,7.585190,7.632913,1.824598,25754597
2001-05-10,7.582382,7.691865,7.523430,7.616069,1.820572,11783524
2001-05-11,7.635720,7.691865,7.439213,7.467285,1.785006,18736110
2001-05-14,7.442020,7.495358,7.172524,7.209018,1.723269,17966371
2001-05-15,7.130415,7.186560,6.658797,7.124800,1.703138,26831470
2001-05-16,7.200596,7.686251,7.200596,7.644142,1.827282,66294126
2001-05-17,7.686251,8.000663,7.666600,7.781697,1.860164,67466537
2001-05-18,7.857493,8.028735,7.753625,7.950132,1.900427,48544550
2001-05-21,8.068037,8.250508,8.028735,8.096109,1.935322,80907020
2001-05-22,8.059615,8.185941,7.978205,8.079266,1.931296,49737337
2001-05-23,7.966976,8.020313,7.865915,7.927674,1.895059,29302304
2001-05-24,7.969783,8.051193,7.899602,7.944518,1.968803,32920471
2001-05-25,7.955747,8.020313,7.860300,7.877144,1.952106,18752692
2001-05-28,7.910831,8.191556,7.910831,8.138218,2.016804,57941860
2001-05-29,8.185941,8.275773,8.121374,8.155061,2.020978,40317692
2001-05-30,8.169098,8.247701,7.995048,8.045579,1.993847,36952353
2001-05-31,7.975397,8.039964,7.832228,7.927674,1.964628,34846163
2001-06-01,8.000663,8.126989,7.865915,7.955747,1.971585,57975826
2001-06-04,8.000663,8.098916,7.697480,7.717130,1.912451,63852395
2001-06-05,7.719938,7.773275,7.582382,7.613262,1.886711,33587832
2001-06-06,7.703094,7.748010,7.506587,7.523430,1.864449,26254589
2001-06-07,7.551503,7.551503,7.270777,7.371838,1.826881,24647268
2001-06-08,7.405526,7.540274,7.383068,7.416755,1.838013,34947437
2001-06-11,7.450442,7.503779,7.399911,7.442020,1.844274,17124604
2001-06-12,7.416755,7.495358,7.383068,7.402718,1.834534,26159032
2001-06-13,7.439213,7.456056,7.276392,7.301657,1.809489,21434088
2001-06-14,7.273585,7.298850,7.175331,7.214632,1.787923,26039699
2001-06-15,7.161295,7.180945,6.936715,6.964787,1.726006,22208779
2001-06-18,6.947944,6.964787,6.810388,6.914257,1.713484,23524390
2001-06-19,6.947944,7.099535,6.933907,7.043390,1.745486,36247748
2001-06-20,7.099535,7.099535,6.905835,6.950751,1.722528,11924337
2001-06-21,6.961980,6.987245,6.675640,6.740207,1.670351,19235246
2001-06-22,6.793545,6.793545,6.574579,6.619495,1.640436,16584770
2001-06-25,6.571772,6.681255,6.434217,6.571772,1.628610,16863548
2001-06-26,6.546507,6.712135,6.512820,6.664411,1.651568,33280040
2001-06-27,6.737400,6.816003,6.641953,6.765472,1.676612,21433144
2001-06-28,6.765472,6.793545,6.560543,6.597037,1.634871,15618771
2001-06-29,6.625110,6.639146,6.335963,6.470711,1.603565,32859468
2001-07-02,6.591423,6.810388,6.568965,6.720556,1.665481,10721915
2001-07-03,6.568965,6.653182,6.206830,6.265782,1.552780,27063850
2001-07-04,6.229288,6.319120,5.898032,5.985057,1.483210,30318583
2001-07-05,6.145070,7.130415,5.900839,5.951370,1.474862,25221264
2001-07-06,5.951370,6.007515,5.622922,5.704332,1.413642,37663778
2001-07-09,5.608885,5.771706,5.432029,5.485366,1.359378,39672042
2001-07-10,5.516246,5.895225,5.516246,5.853116,1.450513,37452664
2001-07-11,5.782935,5.923297,5.614500,5.636958,1.396945,34894734
2001-07-12,5.740826,5.895225,5.687488,5.844694,1.448426,17897157
2001-07-13,5.968213,6.018744,5.676259,5.695910,1.411554,28309820
2001-07-16,5.749248,5.931719,5.738019,5.836273,1.446339,23102732
2001-07-17,5.794164,5.794164,5.549933,5.569584,1.380248,35748773
2001-07-18,5.614500,5.721175,5.502210,5.614500,1.391380,22032842
2001-07-19,5.389920,5.389920,5.182183,5.207449,1.290505,52960153
2001-07-20,5.227099,5.302895,5.173762,5.224292,1.294679,20136591
2001-07-23,5.193412,5.277630,5.109195,5.249557,1.300940,414836
2001-07-24,5.224292,5.243943,5.036206,5.114809,1.267547,16002652
2001-07-25,5.114809,5.238328,5.081122,5.097966,1.263373,13024311
2001-07-26,5.086737,5.173762,5.013748,5.044628,1.250155,18985874
2001-07-27,5.081122,5.148496,5.019363,5.044628,1.250155,13355453
2001-07-30,5.024977,5.095159,5.019363,5.053050,1.252242,14341400
2001-07-31,5.109195,5.300088,5.069893,5.274823,1.307201,19485099
2001-08-01,5.277630,5.347811,5.120424,5.159725,1.278678,11079204
2001-08-02,5.184991,5.213063,5.151304,5.187798,1.285635,5186908
2001-08-03,5.173762,5.277630,5.097966,5.218678,1.293288,14479079
2001-08-06,5.246750,5.305702,5.207449,5.221485,1.293983,11121310
2001-08-07,5.246750,5.255172,5.165340,5.179376,1.283548,4226823
2001-08-08,5.103580,5.182183,5.103580,5.151304,1.276591,4522040
2001-08-09,5.151304,5.227099,5.086737,5.176569,1.282852,6193427
2001-08-10,5.193412,5.213063,5.148496,5.159725,1.278678,5667182
2001-08-13,5.165340,5.184991,5.089544,5.103580,1.264764,5209243
2001-08-14,5.151304,5.151304,5.095159,5.100773,1.264068,3295538
2001-08-15,5.100773,5.100773,5.100773,5.100773,1.264068,0
2001-08-16,5.109195,5.159725,5.078315,5.089544,1.261286,7819128
2001-08-17,5.117617,5.131653,5.053050,5.067086,1.255720,7465134
2001-08-20,5.072701,5.075508,4.940760,5.016556,1.243198,10869408
2001-08-21,5.047435,5.047435,4.982869,4.996905,1.238328,4482233
2001-08-22,4.996905,4.996905,4.996905,4.996905,1.238328,0
2001-08-23,4.999712,4.999712,4.870579,4.881808,1.209804,8858686
2001-08-24,4.940760,4.940760,4.850928,4.873386,1.207717,5764805
2001-08-27,4.912687,4.937953,4.836892,4.850928,1.202152,5271760
2001-08-28,4.828470,4.881808,4.763903,4.772325,1.182673,11103196
2001-08-29,4.772325,4.800397,4.612312,4.623541,1.145801,19142504
2001-08-30,4.660035,4.733023,4.603890,4.617926,1.144410,20818593
2001-08-31,4.606697,4.645999,4.477564,4.497214,1.114495,13460182
2001-09-03,4.497214,4.547745,4.407382,4.429840,1.097799,13057884
2001-09-04,4.435455,4.738638,4.424226,4.685300,1.161106,46986834
2001-09-05,4.794783,4.794783,4.631962,4.671264,1.157628,13771163
2001-09-06,4.631962,4.758289,4.603890,4.718987,1.169455,14181529
2001-09-07,4.617926,4.822855,4.617926,4.724602,1.170846,13410347
2001-09-10,4.772325,4.853735,4.682493,4.713373,1.168063,12826715
2001-09-11,4.716180,4.772325,4.651613,4.704951,1.165976,7473505
2001-09-12,4.384924,4.615119,4.351237,4.544938,1.126322,14152497
2001-09-13,4.603890,4.603890,4.508443,4.542130,1.125626,5586249
2001-09-14,4.528094,4.547745,4.227718,4.295092,1.064405,13301450
2001-09-17,4.435455,4.435455,3.977873,4.011560,0.994141,17899793
2001-09-18,3.958222,4.255791,3.958222,4.104199,1.017098,11871100
2001-09-19,4.210875,4.210875,3.986295,4.011560,0.994141,15402154
2001-09-20,3.986295,4.143501,3.924535,4.039633,1.001098,13324587
2001-09-21,3.980680,4.118236,3.946993,3.983488,0.987184,13380798
2001-09-24,4.098585,4.135079,4.028404,4.073320,1.009446,3751072
2001-09-25,4.107007,4.174381,4.000331,4.025596,0.997619,9177023
2001-09-26,4.028404,4.092970,3.975066,4.005946,0.992749,6027392
2001-09-27,3.705570,3.913306,3.705570,3.775751,0.935703,22373460
2001-09-28,3.817860,3.958222,3.775751,3.890848,0.964226,17439539
2001-10-01,3.930150,4.014367,3.876812,3.910499,0.969096,7654893
2001-10-02,3.910499,3.910499,3.910499,3.910499,0.969096,0
2001-10-03,3.986295,4.031211,3.904885,3.918921,0.971183,7034748
2001-10-04,3.958222,4.014367,3.930150,3.946993,0.978140,3788226
2001-10-05,3.986295,4.070512,3.907692,4.048054,1.003185,8889303
2001-10-08,3.930150,4.092970,3.885234,4.039633,1.001098,12935594
2001-10-09,4.050862,4.115428,4.019982,4.042440,1.001793,5170326
2001-10-10,4.048054,4.098585,4.045247,4.081741,1.011533,4443547
2001-10-11,4.126657,4.177188,4.056476,4.076127,1.010142,8190844
2001-10-12,4.126657,4.135079,3.935764,4.019982,0.996228,12140314
2001-10-15,4.036825,4.149115,3.977873,4.121043,1.021273,8144179
2001-10-16,4.115428,4.247369,4.098585,4.171573,1.033795,8293471
2001-10-17,4.247369,4.331587,4.188417,4.289478,1.063014,15167369
2001-10-18,4.224911,4.519672,4.199646,4.485985,1.111712,36606213
2001-10-19,4.491600,4.544938,4.328779,4.429840,1.097799,13789828
2001-10-22,4.491600,4.514058,4.393346,4.457913,1.104756,11690799
2001-10-23,4.497214,4.595468,4.485985,4.494407,1.113799,11695466
2001-10-24,4.455106,4.603890,4.449491,4.491600,1.113104,19125548
2001-10-25,4.485985,4.508443,4.449491,4.491600,1.113104,8592910
2001-10-26,4.491600,4.491600,4.491600,4.491600,1.113104,0
2001-10-29,4.505636,4.542130,4.463527,4.494407,1.113799,9621372
2001-10-30,4.477564,4.477564,4.373695,4.393346,1.088754,5768491
2001-10-31,4.317550,4.317550,4.104199,4.227718,1.047709,9248302
2001-11-01,4.238947,4.317550,4.199646,4.227718,1.047709,11537197
2001-11-02,4.281056,4.365274,4.244562,4.323165,1.071362,9509109
2001-11-05,4.370888,4.424226,4.323165,4.368081,1.082494,5851028
2001-11-06,4.485985,4.547745,4.410190,4.427033,1.097103,6078011
2001-11-07,4.500022,4.511251,4.393346,4.407382,1.092233,4638364
2001-11-08,4.460720,4.460720,4.365274,4.376503,1.084581,5162418
